,DeltaX1,DeltaY1,DeltaX2,DeltaY2,DeltaX3,DeltaY3,DeltaX4,DeltaY4
0,30.0,242.0,15.0,268.0,36.0,227.0,4.0,223.0
1,26.0,240.0,15.0,268.0,36.0,228.0,3.0,220.0
2,30.0,239.0,15.0,268.0,36.0,227.0,5.0,220.0
3,27.0,243.0,15.599998474121,268.800018310546,35.0,226.0,3.0,221.0
4,27.0,246.0,15.599998474121,268.800003051757,36.0,226.0,3.0,220.0
5,26.0,236.0,15.6000061035156,268.800018310546,36.0,227.799995422363,3.0,223.0
6,26.0,245.0,12.9600219726562,266.400024414062,36.0,226.800018310546,4.0,223.0
7,170.0,93.0,14.4000015258789,267.840026855468,34.8000030517578,227.999992370605,2.0,224.0
8,29.0,239.0,15.8399963378906,267.840003967285,36.0,228.0,2.0,224.0
9,27.0,240.0,13.8249816894531,267.10302734375,36.0,226.800018310546,0.0,222.0
10,26.0,245.0,12.0959777832031,266.112030029296,35.52001953125,225.52001953125,2.0,222.0
11,28.0,237.0,15.5510025024414,267.83999633789,35.8000030517578,225.120025634765,2.0,222.0
12,29.0,240.0,15.9362030029296,269.567016601562,36.0,225.920013427734,3.0,223.0
13,27.0,244.0,14.929931640625,263.761947631835,36.0,225.120025634765,3.0,223.0
14,26.0,241.0,14.929931640625,263.761962890625,35.880012512207,225.080017089843,0.8000030517578,222.600006103515
15,27.5999755859375,237.600006103515,,,34.8,228.0,4.0,221.0
16,26.4000015258789,243.600006103515,,,36.2880249023437,226.368022918701,1.0,224.0
17,27.5999755859375,236.399993896484,,,36.2880096435546,226.368019104003,1.0,221.0
18,26.3999938964843,243.599975585937,,,36.2880020141601,226.368026733398,2.0,224.0
19,30.1999969482421,242.399993896484,,,36.2880096435546,226.368011474609,2.40000915527343,223.200012207031
20,31.1999969482421,242.399993896484,,,39.744,229.824,3.60000610351562,223.200012207031
21,27.6000061035156,238.800018310546,,,34.5609970092773,226.368011474609,1.20001220703125,224.400009155273
22,27.6000366210937,238.800018310546,,,36.2880020141601,225.367011070251,2.40000915527343,223.200012207031
23,26.3999938964843,238.800018310546,,,35.2511987689209,226.186445236206,1.20000457763671,223.200004577636
24,30.0,240.0,,,35.2512054443359,226.022437095642,0.0,222.0
25,26.8,240.6,,,35.2512054443359,225.022430419921,3.60000610351562,222.0
26,24.0,237.6,,,35.251220703125,226.437171936035,2.40000915527343,222.0
27,27.3600158691406,243.359985351562,,,35.2512054443359,227.435241699218,2.40000915527343,219.600006103515
28,27.3600006103515,244.799987792968,,,35.2512054443359,225.022430419921,2.40000915527343,219.600006103515
29,30.239990234375,239.040008544921,,,,,,
30,28.7999877929687,236.160018920898,,,,,,
31,27.3600006103515,243.359985351562,,,,,,
32,25.9200439453125,236.160018920898,,,,,,
33,23.0399780273437,237.600006103515,,,,,,
34,27.3600158691406,237.600006103515,,,,,,
35,25.3440246582031,241.248016357421,,,,,,
36,27.3600158691406,238.080017089843,,,,,,
37,25.9200439453125,237.599990844726,,,,,,
38,25.9199829101562,237.599990844726,,,,,,
39,27.3600158691406,239.039993286132,,,,,,
40,25.9200134277343,241.920013427734,,,,,,
41,29.3760375976562,236.736022949218,,,,,,
42,25.9200439453125,236.736022949218,,,,,,
43,24.1919555664062,236.736022949218,,,,,,
44,29.3760375976562,236.736022949218,,,,,,
45,27.6479797363281,238.46401977539,,,,,,
46,27.6480102539062,240.192016601562,,,,,,
47,27.6479949951171,243.6480178833,,,,,,
48,26.9568481445312,236.390426635742,,,,,,
49,27.9569702148437,236.390441894531,,,,,,
50,201.200042724609,246.659240722656,,,,,,
51,28.0304565429687,237.219924926757,,,,,,
52,26.956787109375,238.46401977539,,,,,,
53,26.2957916259765,242.610236167907,,,,,,
54,27.9568176269531,242.336235046386,,,,,,
55,29.0303955078125,238.464050292968,,,,,,
56,24.8832092285156,241.367095947265,,,,,,
57,24.8832397460937,236.390472412109,,,,,,
58,22.3948974609375,238.878662109375,,,,,,
59,24.8831787109375,236.389442443847,,,,,,
60,24.8831787109375,236.390464782714,,,,,,
61,24.8831176757812,231.413818359375,,,,,,
62,26.8739013671875,238.878784179687,,,,,,
63,29.8598327636718,241.864776611328,,,,,,
64,26.8739013671875,236.390747070312,,,,,,
65,26.873291015625,241.44482421875,,,,,,
66,23.8878784179687,238.878784179687,,,,,,
67,23.8878784179687,238.878784179687,,,,,,
68,29.8592834472656,241.864181518554,,,,,,
69,25.082275390625,237.070617675781,,,,,,
70,25.082275390625,240.073181152343,,,,,,
71,25.082275390625,240.073181152343,,,,,,
